Sub_id1,Sub_id2,click_hour,click_day_of_week,commission_level
nude,purple,4,0,0
nude,purple,9,0,0
nude,purple,1,0,1
nude,purple,0,0,1
oppo,purple,22,2,1
colgateOpticWhite,blue,12,0,1
colgateOpticWhite,purple,12,0,0
oppo,red,0,0,0
colgateOpticWhite,purple,10,0,1
colgateOpticWhite,purple,10,0,0
colgateOpticWhite,purple,10,0,0
nude,purple,7,0,1
nude,purple,7,0,1
colgateOpticWhite,purple,10,0,1
colgateOpticWhite,purple,10,0,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
judydoll,purple,15,5,1
nude,purple,5,0,1
judydoll,purple,0,0,1
judydoll,purple,0,0,0
judydoll,purple,0,0,0
judydoll,purple,0,0,0
nude,purple,4,0,1
nude,red,2,1,1
colgateOpticWhite,purple,2,6,1
nude,purple,2,0,1
nude,purple,2,0,0
nude,purple,1,0,1
nude,purple,1,0,1
nude,purple,1,0,1
nude,purple,0,0,1
nude,purple,1,3,1
judydoll,purple,23,6,1
judydoll,purple,22,6,1
nude,purple,14,3,1
colgateOpticWhite,purple,23,1,1
colgateOpticWhite,purple,19,6,1
colgateOpticWhite,purple,0,2,0
colgateOpticWhite,blue,21,5,1
colgateOpticWhite,red,1,6,1
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,1
colgateOpticWhite,purple,0,6,1
colgateOpticWhite,purple,2,6,1
colgateOpticWhite,purple,2,6,0
nude,red,10,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,0,6,1
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
nude,blue,21,5,0
judydoll,purple,17,5,0
judydoll,purple,17,5,0
colgateOpticWhite,red,0,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,0,6,1
colgateOpticWhite,red,0,6,1
colgateOpticWhite,purple,23,4,1
colgateOpticWhite,purple,23,4,0
oppo,purple,20,2,1
oppo,purple,20,2,0
oppo,purple,20,2,0
oppo,purple,20,2,0
oppo,red,7,4,0
nude,purple,1,0,1
judydoll,purple,15,5,1
judydoll,purple,15,5,0
judydoll,purple,15,5,0
judydoll,purple,17,5,1
judydoll,purple,17,5,0
judydoll,purple,17,5,0
nude,purple,1,0,1
oppo,blue,23,1,0
judydoll,purple,14,5,1
judydoll,purple,14,5,1
oppo,purple,9,5,1
oppo,purple,9,5,0
nude,purple,22,6,1
colgateOpticWhite,purple,0,5,0
colgateOpticWhite,purple,0,5,1
oppo,purple,10,5,1
oppo,purple,10,5,0
oppo,purple,10,5,0
oppo,purple,10,5,0
oppo,purple,10,5,0
oppo,purple,10,5,0
oppo,purple,10,5,0
oppo,purple,10,5,0
oppo,purple,10,5,0
oppo,purple,10,5,0
nude,blue,1,0,0
judydoll,purple,23,2,1
judydoll,purple,23,2,0
judydoll,purple,23,2,0
judydoll,purple,23,2,0
judydoll,purple,23,2,0
judydoll,purple,23,2,0
judydoll,purple,23,2,0
judydoll,purple,23,2,0
judydoll,purple,23,2,0
colgateOpticWhite,purple,23,1,0
nude,purple,11,4,1
judydoll,purple,23,2,1
judydoll,purple,18,4,1
judydoll,purple,18,4,0
judydoll,red,15,5,1
oppo,purple,23,0,1
colgateOpticWhite,purple,0,4,1
colgateOpticWhite,purple,0,2,0
colgateOpticWhite,purple,0,2,0
colgateOpticWhite,purple,0,2,0
colgateOpticWhite,purple,0,2,0
colgateOpticWhite,red,20,2,0
judydoll,blue,12,2,1
colgateOpticWhite,purple,19,3,1
oppo,red,0,4,1
oppo,red,0,4,0
oppo,red,0,4,0
oppo,red,0,4,0
oppo,red,0,4,0
oppo,red,0,4,0
oppo,red,0,4,0
oppo,red,0,4,0
oppo,red,0,4,0
oppo,red,0,4,0
oppo,red,1,4,1
oppo,red,1,4,0
judydoll,purple,22,2,1
colgateOpticWhite,red,11,4,1
oppo,purple,22,3,1
nude,purple,5,3,0
oppo,purple,22,3,0
oppo,purple,22,3,0
oppo,purple,23,0,1
oppo,purple,23,0,0
oppo,purple,23,0,0
oppo,purple,23,0,0
nude,purple,8,4,1
judydoll,purple,2,4,1
oppo,red,6,4,1
oppo,purple,21,6,0
oppo,purple,23,1,1
judydoll,purple,1,4,1
oppo,purple,22,3,0
nude,purple,8,3,0
oppo,purple,8,3,1
oppo,purple,8,3,0
oppo,purple,8,3,1
oppo,purple,7,1,1
oppo,blue,23,1,0
nude,purple,23,6,1
colgateOpticWhite,purple,15,3,1
judydoll,purple,23,2,1
oppo,purple,21,2,1
judydoll,blue,10,1,1
judydoll,blue,10,1,0
judydoll,purple,22,2,1
judydoll,purple,22,2,0
judydoll,purple,22,2,0
judydoll,purple,22,2,0
judydoll,purple,22,2,0
judydoll,purple,22,2,0
nude,purple,8,3,1
nude,purple,23,2,1
nude,purple,9,3,1
colgateOpticWhite,purple,23,1,1
judydoll,red,18,5,1
judydoll,purple,11,1,1
judydoll,purple,11,1,0
oppo,purple,2,3,0
oppo,purple,2,3,0
nude,purple,1,3,1
nude,purple,1,3,0
nude,purple,1,3,0
nude,purple,1,3,0
judydoll,purple,0,3,1
judydoll,purple,23,2,1
judydoll,purple,23,2,0
judydoll,purple,23,2,0
judydoll,purple,22,2,1
nude,purple,11,0,1
colgateOpticWhite,blue,20,2,1
nude,purple,22,6,1
judydoll,red,14,0,1
judydoll,red,14,0,0
judydoll,red,14,0,0
nude,purple,15,1,1
colgateOpticWhite,red,16,2,1
colgateOpticWhite,purple,23,1,0
judydoll,red,23,1,0
judydoll,red,23,1,0
judydoll,red,23,1,0
judydoll,red,23,1,0
judydoll,red,23,1,0
judydoll,red,23,1,0
judydoll,red,23,1,0
colgateOpticWhite,purple,13,2,1
colgateOpticWhite,purple,23,1,1
colgateOpticWhite,red,13,2,1
oppo,red,9,2,1
judydoll,red,0,2,1
judydoll,red,0,2,0
judydoll,red,0,2,0
nude,purple,22,6,0
nude,purple,22,6,0
nude,purple,22,6,1
colgateOpticWhite,purple,5,2,1
colgateOpticWhite,purple,23,1,1
colgateOpticWhite,purple,0,2,1
colgateOpticWhite,purple,23,1,1
colgateOpticWhite,purple,23,1,1
colgateOpticWhite,purple,23,1,1
colgateOpticWhite,blue,16,5,1
colgateOpticWhite,blue,10,5,1
nude,purple,0,0,1
oppo,purple,23,0,1
judydoll,purple,11,1,1
judydoll,purple,11,1,1
judydoll,purple,10,1,1
judydoll,purple,10,1,1
nude,purple,0,0,1
nude,purple,0,0,1
nude,purple,0,0,1
nude,purple,23,6,1
judydoll,blue,19,0,1
nude,purple,22,6,0
nude,purple,22,6,0
oppo,purple,6,1,1
judydoll,red,17,5,1
oppo,purple,23,0,1
colgateOpticWhite,red,19,5,1
judydoll,red,14,0,1
judydoll,red,14,0,0
judydoll,red,14,0,0
oppo,purple,23,0,0
judydoll,blue,19,0,0
nude,purple,11,0,1
oppo,red,21,0,1
oppo,purple,20,6,1
oppo,purple,20,6,0
oppo,purple,20,6,0
nude,purple,19,0,1
nude,purple,19,0,0
nude,purple,19,0,0
nude,purple,19,0,0
nude,purple,23,6,1
nude,purple,1,0,1
nude,purple,22,6,1
nude,purple,22,6,0
colgateOpticWhite,purple,14,0,1
oppo,purple,16,6,1
judydoll,purple,23,5,1
judydoll,purple,23,5,1
judydoll,purple,23,5,0
nude,purple,5,0,1
nude,purple,5,0,1
judydoll,purple,23,5,1
judydoll,purple,23,5,1
judydoll,purple,23,5,0
nude,purple,0,0,1
judydoll,blue,0,0,1
nude,purple,23,6,1
nude,purple,23,6,0
nude,purple,23,6,0
nude,purple,23,6,0
oppo,purple,15,6,1
colgateOpticWhite,blue,20,6,1
judydoll,red,15,5,1
